dateTime,value,userid
2023-01-13,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-14,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-15,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-16,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-17,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1771.3958400000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 70}",BD6RKR
2023-01-18,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1886.52672, 'max': 121, 'min': 30, 'minutes': 1439, 'name': 'Out of Range'}, {'caloriesOut': 1.42272, 'max': 147, 'min': 121, 'minutes': 1, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 69}",BD6RKR
2023-01-19,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1877.66208, 'max': 121, 'min': 30, 'minutes': 1439, 'name': 'Out of Range'}, {'caloriesOut': 1.31328, 'max': 147, 'min': 121, 'minutes': 1, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 70}",BD6RKR
2023-01-20,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1707.7017600000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-21,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-22,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-23,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1575.9360000000001, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
2023-01-24,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 934.6176, 'max': 121, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 147, 'min': 121, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 179, 'min': 147, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 179, 'minutes': 0, 'name': 'Peak'}]}",BD6RKR
